Date,Open,High,Low,Close,Volume,Adj Close
2010-10-08,264.01,268.87,264.01,268.08,103899000,268.08
2010-09-30,259.56,262.84,259.17,262.77,64577700,262.77
2010-09-29,259.31,260.77,259.12,260.01,43412900,260.01
2010-09-28,259.65,259.80,258.19,258.90,46969800,258.90
2010-09-27,255.33,259.70,255.33,259.58,56136500,259.58
2010-09-21,253.48,255.23,253.48,254.77,37528600,254.77
2010-09-20,253.27,254.92,252.46,253.55,40881100,253.55
2010-09-17,253.96,255.80,252.68,253.12,47613900,253.12
2010-09-16,258.73,259.32,252.57,253.95,84526200,253.95
2010-09-15,260.96,260.96,257.69,259.00,72136800,259.00
2010-09-14,261.49,262.33,260.06,260.79,63883800,260.79
2010-09-13,259.12,261.61,258.60,261.05,77661800,261.05
2010-09-10,256.48,259.36,254.88,258.85,79527300,258.85
2010-09-09,260.25,260.92,256.17,256.79,73572000,256.79
2010-09-08,259.89,260.53,258.63,260.15,64720800,260.15
2010-09-07,258.61,260.40,257.50,260.40,61372700,260.40
2010-09-06,258.48,259.88,257.35,258.28,65526100,258.28
2010-09-03,255.78,258.75,255.03,258.64,85682600,258.64
2010-09-02,251.78,255.29,251.18,255.17,83768500,255.17
2010-09-01,256.36,257.25,247.59,249.77,123796100,249.77
2010-08-31,258.17,258.25,255.46,256.92,86507100,256.92
2010-08-30,254.89,258.99,254.89,258.76,100019500,258.76
2010-08-27,254.58,255.52,251.25,254.34,66298900,254.34
2010-08-26,252.37,256.22,252.37,254.64,101552600,254.64
2010-08-25,252.19,261.63,250.16,252.44,240407800,252.44
