Date,Open,High,Low,Close,Volume,Adj Close
2010-10-08,2317.10,2381.15,2316.84,2370.46,4294967200,2370.46
2010-09-30,2241.85,2289.55,2239.50,2289.34,4294967200,2289.34
2010-09-29,2247.52,2274.72,2244.82,2251.93,4294967200,2251.93
2010-09-28,2256.38,2260.07,2243.66,2247.78,4294967200,2247.78
2010-09-27,2221.82,2256.24,2221.82,2255.82,4294967200,2255.82
2010-09-21,2213.09,2221.10,2201.53,2213.58,3352698800,2213.58
2010-09-20,2227.62,2232.58,2197.25,2210.13,4294967200,2210.13
2010-09-17,2228.05,2240.64,2217.13,2225.84,4294967200,2225.84
2010-09-16,2262.96,2267.32,2207.69,2224.33,4294967200,2224.33
2010-09-15,2302.17,2302.17,2264.71,2270.64,4294967200,2270.64
2010-09-14,2302.83,2309.94,2290.42,2301.23,4294967200,2301.23
2010-09-13,2273.64,2303.11,2272.90,2297.21,4294967200,2297.21
2010-09-10,2260.21,2273.98,2235.34,2270.63,4294967200,2270.63
2010-09-09,2298.47,2298.99,2255.09,2258.49,4294967200,2258.49
2010-09-08,2275.92,2294.46,2268.29,2293.91,4294967200,2293.91
2010-09-07,2279.29,2289.67,2265.32,2283.66,4294967200,2283.66
2010-09-06,2257.16,2283.03,2250.46,2278.19,4294967200,2278.19
2010-09-03,2246.91,2252.33,2224.00,2246.00,4294967200,2246.00
2010-09-02,2226.86,2248.37,2220.06,2244.71,4294967200,2244.71
2010-09-01,2228.28,2242.28,2189.60,2208.12,4294967200,2208.12
2010-08-31,2223.22,2231.43,2212.98,2226.28,4294967200,2226.28
2010-08-30,2193.32,2230.26,2192.79,2229.19,4294967200,2229.19
2010-08-27,2171.96,2184.76,2159.54,2182.77,3954838400,2182.77
2010-08-26,2174.56,2185.39,2160.76,2173.40,4294967200,2173.40
2010-08-25,2197.82,2210.26,2165.06,2166.15,4294967200,2166.15
