Date,Open,High,Low,Close,Volume,Adj Close
2010-10-08,10.07,10.36,9.89,10.28,129016300,7.54
2010-10-07,9.96,9.96,9.96,9.96,000,7.31
2010-10-06,9.96,9.96,9.96,9.96,000,7.31
2010-10-05,9.96,9.96,9.96,9.96,000,7.31
2010-10-04,9.96,9.96,9.96,9.96,000,7.31
2010-10-01,9.96,9.96,9.96,9.96,000,7.31
2010-09-30,9.52,9.99,9.48,9.97,99346700,7.32
2010-09-29,9.38,9.76,9.32,9.61,103891400,7.05
2010-09-28,9.94,9.94,9.67,9.68,83184500,7.10
2010-09-27,10.00,10.02,9.92,9.95,56164800,7.30
2010-09-24,9.95,9.95,9.95,9.95,000,7.30
2010-09-23,9.95,9.95,9.95,9.95,000,7.30
2010-09-22,9.95,9.95,9.95,9.95,000,7.30
2010-09-21,10.00,10.08,9.90,9.95,43772900,7.30
2010-09-20,9.97,9.97,9.97,9.97,000,7.32
2010-09-17,10.07,10.10,9.92,9.97,56264800,7.32
2010-09-16,10.23,10.23,9.92,10.02,95470800,7.35
2010-09-15,10.41,10.41,10.23,10.25,58319400,7.52
2010-09-14,10.45,10.52,10.32,10.38,80150000,7.62
2010-09-13,10.35,10.50,10.23,10.38,94136000,7.61
2010-09-10,10.42,10.47,10.23,10.39,69433700,7.63
2010-09-09,10.68,10.69,10.35,10.42,144905300,7.64
2010-09-08,10.81,10.82,10.62,10.68,112019000,7.84
2010-09-07,10.96,11.03,10.81,10.89,75706500,7.99
2010-09-06,10.78,10.97,10.68,10.95,135956500,8.03
2010-09-03,10.82,10.82,10.64,10.73,80462500,7.87
2010-09-02,10.98,10.98,10.73,10.82,88002300,7.94
2010-09-01,10.82,11.03,10.61,10.76,117623000,7.90
2010-08-31,10.80,10.87,10.71,10.76,66706900,7.90
2010-08-30,10.82,10.92,10.75,10.85,67684700,7.96
2010-08-27,10.76,10.87,10.68,10.75,46343600,7.89
2010-08-26,10.89,10.92,10.72,10.75,38615400,7.89
2010-08-25,10.99,11.02,10.75,10.79,64348900,7.92
